Pos,Country,Gold,Silver,Bronze,Total,Total2
1,US,46,37,38,121,View medals by sport for United States
2,GB,27,23,17,67,View medals by sport for Great Britain & N. Ireland
3,CHN,26,18,26,70,View medals by sport for China
4,RUS,19,18,19,56,View medals by sport for Russia
5,GER,17,10,15,42,View medals by sport for Germany
6,JPN,12,8,21,41,View medals by sport for Japan
7,FRA,10,18,14,42,View medals by sport for France
8,KOR,9,3,9,21,View medals by sport for South Korea
9,ITA,8,12,8,28,View medals by sport for Italy
10,AUS,8,11,10,29,View medals by sport for Australia
11,NED,8,7,4,19,View medals by sport for Netherlands
12,HUN,8,3,4,15,View medals by sport for Hungary
13,BRZ,7,6,6,19,View medals by sport for Brazil
14,SPA,7,4,6,17,View medals by sport for Spain
15,KEN,6,6,1,13,View medals by sport for Kenya
16,JAM,6,3,2,11,View medals by sport for Jamaica
17,CRO,5,3,2,10,View medals by sport for Croatia
18,CUB,5,2,4,11,View medals by sport for Cuba
19,NZ,4,9,5,18,View medals by sport for New Zealand
20,CAN,4,3,15,22,View medals by sport for Canada
21,UZB,4,2,7,13,View medals by sport for Uzbekistan
22,KAZ,3,5,9,17,View medals by sport for Kazakhstan
23,COL,3,2,3,8,View medals by sport for Colombia
24,SWI,3,2,2,7,View medals by sport for Switzerland
25,IRN,3,1,4,8,View medals by sport for Iran
26,GRE,3,1,2,6,View medals by sport for Greece
27,ARG,3,1,0,4,View medals by sport for Argentina
28,DEN,2,6,7,15,View medals by sport for Denmark
29,SWE,2,6,3,11,View medals by sport for Sweden
30,SA,2,6,2,10,View medals by sport for South Africa
31,UKR,2,5,4,11,View medals by sport for Ukraine
32,SER,2,4,2,8,View medals by sport for Serbia
33,POL,2,3,6,11,View medals by sport for Poland
34,PRK,2,3,2,7,View medals by sport for North Korea
35,BEL,2,2,2,6,View medals by sport for Belgium
35,THA,2,2,2,6,View medals by sport for Thailand
37,SVK,2,2,0,4,View medals by sport for Slovakia
38,GEO,2,1,4,7,View medals by sport for Georgia
39,AZE,1,7,10,18,View medals by sport for Azerbaijan
40,BLR,1,4,4,9,View medals by sport for Belarus
41,TUR,1,3,4,8,View medals by sport for Turkey
42,ARM,1,3,0,4,View medals by sport for Armenia
43,CZE,1,2,7,10,View medals by sport for Czech Republic
44,ETH,1,2,5,8,View medals by sport for Ethiopia
45,SLO,1,2,1,4,View medals by sport for Slovenia
46,IDN,1,2,0,3,View medals by sport for Indonesia
47,ROM,1,1,3,5,View medals by sport for Romania
48,BHR,1,1,0,2,View medals by sport for Bahrain
48,VIE,1,1,0,2,View medals by sport for Vietnam
50,TPE,1,0,2,3,View medals by sport for Chinese Taipei
51,BAH,1,0,1,2,View medals by sport for Bahamas
51,IOA,1,0,1,2,View medals by sport for Independent Olympic Athletes
51,CIV,1,0,1,2,View medals by sport for Ivory Coast
54,FIJ,1,0,0,1,View medals by sport for Fiji
54,JOR,1,0,0,1,View medals by sport for Jordan
54,KOS,1,0,0,1,View medals by sport for Kosovo
54,PUR,1,0,0,1,View medals by sport for Puerto Rico
54,SIN,1,0,0,1,View medals by sport for Singapore
54,TJK,1,0,0,1,View medals by sport for Tajikistan
60,MAS,0,4,1,5,View medals by sport for Malaysia
61,MEX,0,3,2,5,View medals by sport for Mexico
62,ALG,0,2,0,2,View medals by sport for Algeria
62,IRE,0,2,0,2,View medals by sport for Ireland
64,LTU,0,1,3,4,View medals by sport for Lithuania
65,BUL,0,1,2,3,View medals by sport for Bulgaria
65,VEN,0,1,2,3,View medals by sport for Venezuela
67,IND,0,1,1,2,View medals by sport for India
67,MGL,0,1,1,2,View medals by sport for Mongolia
69,BDI,0,1,0,1,View medals by sport for Burundi
69,GRN,0,1,0,1,View medals by sport for Grenada
69,NIG,0,1,0,1,View medals by sport for Niger
69,PHI,0,1,0,1,View medals by sport for Philippines
69,QAT,0,1,0,1,View medals by sport for Qatar
74,NOR,0,0,4,4,View medals by sport for Norway
75,EGY,0,0,3,3,View medals by sport for Egypt
75,TUN,0,0,3,3,View medals by sport for Tunisia
77,ISR,0,0,2,2,View medals by sport for Israel
78,AUT,0,0,1,1,View medals by sport for Austria
78,DOM,0,0,1,1,View medals by sport for Dominican Republic
78,EST,0,0,1,1,View medals by sport for Estonia
78,FIN,0,0,1,1,View medals by sport for Finland
78,MDA,0,0,1,1,View medals by sport for Moldova
78,MOR,0,0,1,1,View medals by sport for Morocco
78,NGA,0,0,1,1,View medals by sport for Nigeria
78,POR,0,0,1,1,View medals by sport for Portugal
78,TRI,0,0,1,1,View medals by sport for Trinidad and Tobago
78,UAE,0,0,1,1,View medals by sport for United Arab Emirates
