anonID,eProfileClass,fuelTypes,ACORN_Category,ACORN_Group,ACORN_Type,ACORN_Code,ACORN_Description,NUTS4,LACode,NUTS1,gspGroup,LDZ,Elec_Tout,Gas_Tout
1,2,Dual,1,C,10,"1 ,C ,10",Well-off working families with mortgages,--,--,UKG,_B,WM,0,0
2,1,Dual,4,M,43,"4 ,M ,43","Older people, rented terraces",UKL1605,00PL,UKL,_K,WS,1,1
3,1,ElecOnly,3,I,32,"3 ,I ,32",Retired home owners,UKJ4210,29UN,UKJ,_J,SE,0,0
4,1,Dual,3,H,31,"3 ,H ,31",Home owning Asian family areas,--,--,UKI,--,--,0,0
5,1,ElecOnly,4,M,43,"4 ,M ,43","Older people, rented terraces",UKM3800,00RF,UKM,_N,SC,1,0
6,1,ElecOnly,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,UKJ3306,24UG,UKJ,_H,--,0,0
7,1,ElecOnly,3,I,32,"3 ,I ,32",Retired home owners,--,--,UKF,_B,--,0,0
8,1,ElecOnly,3,H,28,"3 ,H ,28",Working families with mortgages,--,--,UKJ,_J,NT,0,0
9,1,Dual,3,H,31,"3 ,H ,31",Home owning Asian family areas,UKG3100,00CN,UKG,_E,WM,0,0
10,1,ElecOnly,2,F,23,"2 ,F ,23",Student terraces,--,--,--,--,--,1,0
11,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKJ3302,24UC,UKJ,_H,--,1,0
12,1,ElecOnly,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",--,--,UKM,_P,--,0,0
13,1,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,UKM3800,00RF,UKM,_N,SC,1,1
14,1,Dual,4,L,40,"4 ,L ,40",Young working families,UKJ3301,24UB,UKJ,_H,SO,1,1
15,1,Dual,3,H,26,"3 ,H ,26",Younger white-collar couples with mortgages,--,--,UKF,_B,EM,0,0
16,1,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",UKI2202,00AH,UKI,_J,SE,0,0
17,1,Dual,4,M,42,"4 ,M ,42","Home owning families, terraces",UKM3800,00RF,UKM,_N,SC,1,1
18,1,Dual,3,I,33,"3 ,I ,33","Middle income, older couples",UKG1305,44UF,UKG,_B,WM,0,0
19,1,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,--,--,UKJ,_J,NT,0,0
20,1,Dual,4,L,39,"4 ,L ,39","Skilled older families, terraces",UKL2104,00PR,UKL,_K,WS,1,1
21,1,ElecOnly,3,H,27,"3 ,H ,27","Middle income, home owning areas",UKF2202,31UC,UKF,_B,--,0,0
22,1,ElecOnly,2,D,14,"2 ,D ,14",Older professionals in suburban houses and apartments,--,--,UKJ,--,--,1,0
23,2,ElecOnly,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,--,--,UKF,_B,--,0,0
24,1,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKF1201,17UC,UKF,_B,EM,0,0
25,1,ElecOnly,3,H,30,"3 ,H ,30",Established home owning workers,UKL2104,00PR,UKL,_K,--,0,0
26,1,Dual,3,G,25,"3 ,G ,25","White-collar singles/sharers, terraces",--,--,UKI,_C,SE,0,0
27,1,Dual,3,J,35,"3 ,J ,35","Elderly singles, purpose built flats",--,--,--,--,--,1,1
28,1,ElecOnly,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKJ3301,24UB,UKJ,_H,--,1,0
29,1,Dual,1,C,9,"1 ,C ,9","Older families, prosperous suburbs",UKJ3310,24UL,UKJ,_H,SO,1,1
30,1,Dual,3,I,34,"3 ,I ,34","Lower incomes, older people, semis",--,--,UKF,_B,EM,0,0
31,1,ElecOnly,3,H,29,"3 ,H ,29",Mature families in suburban semis,--,--,UKJ,_J,SE,0,0
33,1,ElecOnly,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKF1501,37UB,UKF,_B,--,0,0
34,1,ElecOnly,3,H,29,"3 ,H ,29",Mature families in suburban semis,--,--,UKF,_B,--,0,0
35,1,Dual,1,A,4,"1 ,A ,4","Well-off managers, larger houses",UKJ3306,24UG,UKJ,_H,SO,0,1
36,1,Dual,3,H,29,"3 ,H ,29",Mature families in suburban semis,--,--,UKF,_B,EM,0,0
38,1,Dual,4,L,39,"4 ,L ,39","Skilled older families, terraces",UKK1100,00HB,UKK,_B,EM,0,0
39,1,Dual,4,M,41,"4 ,M ,41","Skilled workers, semis and terraces",UKL1604,00PK,UKL,_K,WS,1,1
40,1,Dual,1,B,8,"1 ,B ,8","Mature couples, smaller detached homes",UKG2406,41UG,UKG,_E,WM,0,0
41,2,ElecOnly,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKF2201,31UB,UKF,_B,--,0,0
42,1,Dual,5,N,47,"5 ,N ,47","Low income families, terraced estates",UKG3100,00CN,UKG,_E,WM,0,0
43,1,Dual,1,A,1,"1 ,A ,1","Wealthy mature professionals, large houses",--,--,UKJ,--,--,0,0
44,2,Dual,1,C,11,"1 ,C ,11","Well-off managers, detached houses",UKF1603,37UJ,UKF,_B,EM,0,0
45,1,Dual,5,O,52,"5 ,O ,52","Families and single parents, council flats",--,--,--,--,--,0,0
46,1,Dual,5,P,53,"5 ,P ,53","Old people, many high-rise flats",UKM2102,00QJ,UKM,_P,SC,0,0
48,1,Dual,1,A,2,"1 ,A ,2",Wealthy working families with mortgages,--,--,UKJ,--,--,1,1
